[x] [y] [Fr_x] [Fr_y] [Fa_x] [Fa_y] [v] [w] [Speed_x] [Speed_y] [distanceOpp] 
0.669225 	 2.793161 	 -0.016543 	 -0.956673 	 0.946163 	 -0.739741 	 0.013562 	 0.978100 	 -0.007000 	 -0.999976 	 3.415862 
0.669225 	 2.793161 	 -0.016543 	 -0.956673 	 0.946163 	 -0.739741 	 0.013562 	 0.978100 	 -0.007000 	 -0.999976 	 3.415862 
0.669225 	 2.793161 	 -0.016543 	 -0.956673 	 0.946163 	 -0.739741 	 0.013562 	 0.978100 	 -0.007000 	 -0.999976 	 3.415862 
0.669223 	 2.792829 	 -0.016517 	 -0.953918 	 0.946166 	 -0.739244 	 0.013592 	 0.979603 	 -0.004035 	 -0.999992 	 3.416123 
0.669222 	 2.792196 	 -0.016468 	 -0.948684 	 0.946168 	 -0.738294 	 0.013649 	 0.982458 	 -0.000045 	 -1.000000 	 3.416620 
0.669225 	 2.791251 	 -0.016396 	 -0.940933 	 0.946163 	 -0.736876 	 0.013734 	 0.986686 	 0.007104 	 -0.999975 	 3.417360 
0.669239 	 2.790016 	 -0.016304 	 -0.930925 	 0.946142 	 -0.735025 	 0.013843 	 0.992145 	 0.015148 	 -0.999885 	 3.418319 
0.669260 	 2.788898 	 -0.016222 	 -0.921969 	 0.946110 	 -0.733348 	 0.013941 	 0.997030 	 0.022977 	 -0.999736 	 3.430008 
0.669270 	 2.788591 	 -0.016200 	 -0.919525 	 0.946095 	 -0.732887 	 0.013967 	 0.998363 	 0.040155 	 -0.999193 	 3.430243 
0.669289 	 2.788203 	 -0.016175 	 -0.916448 	 0.946066 	 -0.732304 	 0.014001 	 1.000041 	 0.060827 	 -0.998148 	 3.430537 
0.669279 	 2.788350 	 -0.016184 	 -0.917612 	 0.946082 	 -0.732525 	 0.013988 	 0.999407 	 0.086418 	 -0.996259 	 3.430428 
0.669275 	 2.788389 	 -0.016186 	 -0.917920 	 0.946088 	 -0.732583 	 0.013985 	 0.999239 	 0.115797 	 -0.993273 	 3.430400 
0.669288 	 2.788287 	 -0.016181 	 -0.917116 	 0.946068 	 -0.732431 	 0.013994 	 0.999677 	 0.144158 	 -0.989555 	 25.632803 
0.669335 	 2.787994 	 -0.016170 	 -0.914805 	 0.945997 	 -0.731992 	 0.014019 	 1.000938 	 0.175459 	 -0.984487 	 25.632963 
0.669413 	 2.787597 	 -0.016159 	 -0.911683 	 0.945881 	 -0.731396 	 0.014053 	 1.002640 	 0.207411 	 -0.978254 	 25.633169 
0.669477 	 2.787317 	 -0.016153 	 -0.909483 	 0.945784 	 -0.730975 	 0.019669 	 0.904150 	 0.239263 	 -0.970955 	 25.633307 
0.669506 	 2.787206 	 -0.016151 	 -0.908617 	 0.945741 	 -0.730809 	 0.026906 	 0.775817 	 0.271140 	 -0.962540 	 25.633360 
0.669620 	 2.786829 	 -0.016151 	 -0.905683 	 0.945570 	 -0.730244 	 0.035247 	 0.629554 	 0.307822 	 -0.951444 	 25.633524 
0.669785 	 2.786344 	 -0.016155 	 -0.901921 	 0.945322 	 -0.729516 	 0.041928 	 0.513765 	 0.336987 	 -0.941509 	 25.633724 
0.669935 	 2.785945 	 -0.016161 	 -0.898838 	 0.945098 	 -0.728917 	 0.048051 	 0.407495 	 0.363244 	 -0.931694 	 25.633877 
0.670165 	 2.785377 	 -0.016174 	 -0.894478 	 0.944753 	 -0.728066 	 0.053641 	 0.312002 	 0.387048 	 -0.922060 	 25.634083 
0.670465 	 2.784686 	 -0.016196 	 -0.889207 	 0.944302 	 -0.727030 	 0.059470 	 0.213288 	 0.411517 	 -0.911402 	 25.634317 
0.670867 	 2.783824 	 -0.016230 	 -0.882679 	 0.943700 	 -0.725736 	 0.064359 	 0.132657 	 0.431863 	 -0.901939 	 25.634592 
0.671258 	 2.783025 	 -0.016267 	 -0.876688 	 0.943112 	 -0.724538 	 0.068540 	 0.064275 	 0.448985 	 -0.893539 	 25.634830 
0.671750 	 2.782065 	 -0.016316 	 -0.869549 	 0.942375 	 -0.723098 	 0.072015 	 0.009663 	 0.463144 	 -0.886283 	 25.635101 
0.672275 	 2.781079 	 -0.016371 	 -0.862285 	 0.941588 	 -0.721618 	 0.070810 	 -0.037880 	 0.475599 	 -0.879662 	 25.635366 
0.672998 	 2.779762 	 -0.016451 	 -0.852702 	 0.940503 	 -0.719643 	 0.068999 	 -0.078885 	 0.487119 	 -0.873336 	 25.635702 
0.673660 	 2.778588 	 -0.016527 	 -0.844265 	 0.939510 	 -0.717882 	 0.067767 	 -0.108478 	 0.495752 	 -0.868464 	 25.635988 
0.674294 	 2.777488 	 -0.016602 	 -0.836444 	 0.938559 	 -0.716231 	 0.066935 	 -0.130369 	 0.502510 	 -0.864572 	 25.636248 
0.674914 	 2.776428 	 -0.016677 	 -0.828997 	 0.937629 	 -0.714643 	 0.066501 	 -0.144881 	 0.507571 	 -0.861610 	 25.636490 
0.675574 	 2.775313 	 -0.016758 	 -0.821239 	 0.936639 	 -0.712970 	 0.066552 	 -0.151158 	 0.510979 	 -0.859593 	 25.636740 
0.676220 	 2.774229 	 -0.016837 	 -0.813778 	 0.935670 	 -0.711344 	 0.066908 	 -0.151804 	 0.513142 	 -0.858303 	 25.636978 
0.676799 	 2.773263 	 -0.016909 	 -0.807194 	 0.934802 	 -0.709895 	 0.067396 	 -0.149355 	 0.514443 	 -0.857525 	 25.637190 
0.677361 	 2.772327 	 -0.016979 	 -0.800871 	 0.933958 	 -0.708490 	 0.067803 	 -0.148088 	 0.515932 	 -0.856629 	 25.637392 
