[x_opp] [y_opp] [x_lidar] [y_lidar]
0 0 0.000000 200.000000 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.568456 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.567244 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.581802 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.595235 
0 0 0.000000 0.581424 
0 0 0.000000 0.581424 
0 0 0.000000 0.581424 
0 0 0.000000 0.581424 
0 0 0.000000 0.581424 
0 0 0.000000 0.576502 
0 0 0.000000 0.576502 
0 0 0.000000 0.576502 
0 0 0.000000 0.576502 
0 0 0.000000 0.576502 
0 0 0.000000 0.572048 
0 0 0.000000 0.572048 
0 0 0.000000 0.572048 
0 0 0.000000 0.572048 
0 0 0.000000 0.572048 
0 0 0.000000 0.563835 
0 0 0.000000 0.563835 
0 0 0.000000 0.563835 
0 0 0.000000 0.563835 
0 0 0.000000 0.563835 
0 0 0.000000 0.563835 
0 0 0.000000 0.557388 
0 0 0.000000 0.557388 
0 0 0.000000 0.557388 
0 0 0.000000 0.557388 
0 0 0.000000 0.557388 
0 0 0.000000 0.543860 
0 0 0.000000 0.543860 
0 0 0.000000 0.543860 
0 0 0.000000 0.543860 
0 0 0.000000 0.543860 
0 0 0.000000 0.540197 
0 0 0.000000 0.540197 
0 0 0.000000 0.540197 
0 0 0.000000 0.540197 
0 0 0.000000 0.540197 
0 0 0.000000 0.523932 
0 0 0.000000 0.523932 
0 0 0.000000 0.523932 
0 0 0.000000 0.523932 
0 0 0.000000 0.523932 
0 0 0.000000 0.523932 
0 0 0.000000 0.504704 
0 0 0.000000 0.504704 
0 0 0.000000 0.504704 
0 0 0.000000 0.504704 
0 0 0.000000 0.504704 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
0 0 0.000000 0.546947 
