[odo1] [odo2] [x] [y] 
4.141748 1.687379 -0.177747 0.160237
4.333496 2.722816 -0.177622 0.161811
4.180098 3.106311 -0.177468 0.163638
4.103399 3.413107 -0.177304 0.165488
4.333496 3.489806 -0.177128 0.167420
4.295146 3.259709 -0.176942 0.169424
4.026700 3.374758 -0.176747 0.171457
4.141748 3.834952 -0.176555 0.173411
3.911651 4.141748 -0.176345 0.175523
3.528156 3.834952 -0.176135 0.177633
2.837864 4.256797 -0.175952 0.179489
3.067962 4.640292 -0.175777 0.181298
2.914563 4.180098 -0.175557 0.183689
3.451457 4.180098 -0.175392 0.185583
4.333496 3.911651 -0.175228 0.187512
4.947088 3.451457 -0.175048 0.189646
4.793690 2.876214 -0.174865 0.191753
4.410195 3.451457 -0.174688 0.193693
4.832039 3.374758 -0.174494 0.195722
4.678641 2.876214 -0.174282 0.197870
4.410195 2.607767 -0.174083 0.199790
4.793690 3.336408 -0.173890 0.201579
4.755341 4.103399 -0.173654 0.203667
4.295146 3.643204 -0.173352 0.206274
3.643204 3.604855 -0.173081 0.208568
4.180098 4.141748 -0.172856 0.210461
4.371845 4.448545 -0.172607 0.212550
3.834952 4.563593 -0.172338 0.214806
3.604855 4.218447 -0.172091 0.216895
4.141748 4.026700 -0.171863 0.218858
4.448545 3.873302 -0.171617 0.220986
4.333496 4.601943 -0.171370 0.223107
4.755341 4.793690 -0.171049 0.225857
4.793690 4.180098 -0.170770 0.228255
5.062137 3.950001 -0.170507 0.230495
5.368933 4.026700 -0.170241 0.232728
5.177185 3.413107 -0.169945 0.235135
4.716991 3.336408 -0.169669 0.237307
5.062137 3.643204 -0.169385 0.239462
5.368933 3.681554 -0.169080 0.241712
4.180098 3.758253 -0.168755 0.244036
3.643204 4.448545 -0.168469 0.246038
3.528156 5.023787 -0.168184 0.248033
3.758253 5.944176 -0.167879 0.250223
3.298059 4.832039 -0.167537 0.252777
2.761165 5.023787 -0.167268 0.254871
3.259709 5.829127 -0.167013 0.256936
4.103399 5.483981 -0.166741 0.259277
3.950001 4.601943 -0.166472 0.261697
3.950001 4.180098 -0.166236 0.263879
4.448545 4.371845 -0.166042 0.265693
4.448545 4.371845 -0.165911 0.266924
5.023787 4.870389 -0.165778 0.268169
5.023787 4.295146 -0.165631 0.269542
4.180098 4.295146 -0.165488 0.270867
4.180098 4.486894 -0.165359 0.272060
4.180098 5.330583 -0.165228 0.273275
4.947088 5.330583 -0.165086 0.274598
4.640292 5.253884 -0.164937 0.276017
4.640292 5.253884 -0.164791 0.277403
3.834952 4.678641 -0.164646 0.278804
3.834952 4.525243 -0.164523 0.279994
3.834952 4.525243 -0.164404 0.281166
4.333496 5.138835 -0.164286 0.282337
4.333496 5.138835 -0.164152 0.283690
4.256797 5.138835 -0.163973 0.285516
3.604855 4.640292 -0.163793 0.287382
3.604855 4.486894 -0.163642 0.288988
3.988350 4.716991 -0.163496 0.290574
3.988350 4.563593 -0.163345 0.292234
3.988350 4.525243 -0.163193 0.293940
3.719903 4.448545 -0.163049 0.295576
3.566505 4.448545 -0.162907 0.297220
3.950001 4.716991 -0.162761 0.298945
4.448545 4.985437 -0.162617 0.300675
3.950001 4.448545 -0.162467 0.302520
2.952913 3.144661 -0.162332 0.304199
2.952913 0.728641 -0.162242 0.305321
1.725728 -0.766990 -0.162190 0.305963
1.955825 -0.766990 -0.162174 0.306140
4.103399 -0.460194 -0.162149 0.306416
3.834952 -1.457282 -0.162070 0.307197
2.722816 -1.840777 -0.162023 0.307625
2.799515 -2.339321 -0.162003 0.307787
2.799515 -1.649029 -0.161993 0.307867
3.758253 -1.649029 -0.161964 0.308073
4.563593 -1.610680 -0.161908 0.308446
4.371845 -2.109224 -0.161818 0.309007
4.371845 -2.569418 -0.161746 0.309418
4.256797 -2.646117 -0.161683 0.309754
5.023787 -2.492719 -0.161620 0.310064
5.522331 -2.492719 -0.161513 0.310555
5.253884 -2.454369 -0.161373 0.311150
4.601943 -3.029612 -0.161239 0.311677
3.950001 -2.952913 -0.161158 0.311976
3.950001 -2.722816 -0.161102 0.312170
4.180098 -2.722816 -0.161033 0.312399
4.601943 -2.914563 -0.160949 0.312664
4.640292 -2.914563 -0.160844 0.312979
4.525243 -2.991262 -0.160726 0.313312
4.640292 -2.761165 -0.160621 0.313595
4.601943 -2.684466 -0.160489 0.313935
4.601943 -2.454369 -0.160346 0.314288
4.103399 -2.607767 -0.160178 0.314683
3.681554 -2.952913 -0.160059 0.314953
3.374758 -2.952913 -0.159999 0.315084
3.950001 -2.952913 -0.159962 0.315162
4.256797 -2.914563 -0.159872 0.315344
4.218447 -3.029612 -0.159754 0.315574
3.834952 -2.761165 -0.159643 0.315785
3.834952 -2.607767 -0.159541 0.315971
3.796602 -2.300971 -0.159423 0.316177
3.604855 -2.147573 -0.159271 0.316437
3.144661 -2.147573 -0.159121 0.316687
3.067962 -2.262622 -0.159014 0.316860
3.413107 -2.185923 -0.158931 0.316992
3.528156 -2.492719 -0.158798 0.317195
3.528156 -2.531068 -0.158687 0.317362
3.489806 -2.837864 -0.158574 0.317526
3.834952 -2.761165 -0.158501 0.317629
3.758253 -2.761165 -0.158377 0.317801
3.911651 -3.259709 -0.158259 0.317959
3.413107 -3.489806 -0.158180 0.318061
3.834952 -3.489806 -0.158190 0.318049
3.834952 -3.719903 -0.158149 0.318099
3.834952 -4.180098 -0.158136 0.318114
4.256797 -4.180098 -0.158178 0.318066
4.563593 -4.180098 -0.158169 0.318076
4.563593 -4.601943 -0.158123 0.318126
4.870389 -4.601943 -0.158127 0.318122
4.563593 -4.832039 -0.158092 0.318157
4.793690 -4.793690 -0.158131 0.318120
4.563593 -4.601943 -0.158131 0.318120
4.716991 -4.525243 -0.158136 0.318115
4.716991 -4.295146 -0.158107 0.318140
4.486894 -4.141748 -0.158043 0.318193
4.256797 -3.950001 -0.157991 0.318234
4.065049 -4.103399 -0.157937 0.318276
3.988350 -3.911651 -0.157944 0.318270
4.371845 -3.950001 -0.157930 0.318281
4.180098 -3.911651 -0.157827 0.318350
3.719903 -3.758253 -0.157763 0.318391
3.489806 -3.566505 -0.157769 0.318387
3.489806 -3.988350 -0.157779 0.318381
3.681554 -3.988350 -0.157840 0.318346
3.681554 -4.256797 -0.157879 0.318324
4.333496 -4.256797 -0.157951 0.318285
4.333496 -4.295146 -0.157941 0.318290
4.333496 -4.256797 -0.157936 0.318293
4.103399 -4.256797 -0.157926 0.318298
3.873302 -3.950001 -0.157946 0.318288
3.873302 -3.834952 -0.157956 0.318284
3.873302 -3.834952 -0.157951 0.318286
3.873302 -3.911651 -0.157946 0.318288
3.873302 -4.525243 -0.157952 0.318286
4.525243 -4.525243 -0.158039 0.318250
4.525243 -4.601943 -0.158039 0.318250
4.525243 -4.601943 -0.158049 0.318247
5.368933 -4.026700 -0.158060 0.318243
5.368933 -3.528156 -0.157845 0.318316
4.870389 -3.528156 -0.157551 0.318410
4.180098 -3.528156 -0.157331 0.318477
3.604855 -3.528156 -0.157222 0.318508
3.604855 -2.185923 -0.157209 0.318511
3.413107 -2.531068 -0.156976 0.318572
1.610680 -2.531068 -0.156838 0.318606
1.610680 -4.563593 -0.156969 0.318575
-1.035437 -4.563593 -0.157372 0.318481
-1.342233 -4.832039 -0.158155 0.318306
-1.342233 -4.601943 -0.159016 0.318117
-0.728641 -4.601943 -0.159919 0.317924
-1.073786 -4.601943 -0.160831 0.317736
-2.300971 -4.256797 -0.161789 0.317544
