[odo1] [odo2] [x] [y] 
3.988350 3.911651 0.184574 0.255491
4.256797 3.413107 0.186606 0.255405
4.755341 3.489806 0.188601 0.255318
4.793690 3.950001 0.190683 0.255222
4.908739 3.643204 0.192922 0.255111
4.141748 3.758253 0.195084 0.254998
4.180098 3.911651 0.197109 0.254888
4.218447 4.103399 0.199197 0.254773
3.911651 4.103399 0.201729 0.254631
3.528156 3.950001 0.203969 0.254506
3.834952 4.218447 0.206195 0.254384
4.448545 4.180098 0.208274 0.254272
3.950001 4.180098 0.210564 0.254150
4.103399 4.295146 0.212761 0.254032
4.410195 4.180098 0.214921 0.253918
4.755341 3.796602 0.217171 0.253799
4.448545 4.180098 0.219411 0.253676
4.601943 4.295146 0.221766 0.253543
4.678641 3.604855 0.224115 0.253409
4.371845 3.298059 0.226265 0.253282
4.525243 3.451457 0.228332 0.253153
4.640292 4.295146 0.230504 0.253011
3.950001 3.681554 0.232892 0.252850
3.681554 3.950001 0.234850 0.252717
3.988350 4.295146 0.236852 0.252580
4.563593 4.563593 0.238960 0.252438
3.758253 4.601943 0.241277 0.252283
3.911651 4.716991 0.243440 0.252140
4.525243 4.563593 0.245741 0.251994
4.601943 4.486894 0.248197 0.251841
4.410195 4.486894 0.250571 0.251693
4.448545 4.525243 0.252916 0.251546
4.678641 4.525243 0.255209 0.251404
4.793690 4.525243 0.257621 0.251253
4.256797 4.601943 0.260186 0.251092
4.141748 4.410195 0.262547 0.250943
3.988350 4.026700 0.264784 0.250804
4.141748 4.486894 0.266858 0.250677
4.640292 4.716991 0.269182 0.250535
3.719903 4.563593 0.271672 0.250384
3.643204 4.333496 0.273882 0.250254
4.448545 4.180098 0.275993 0.250134
4.448545 4.256797 0.278306 0.250003
4.180098 4.601943 0.280584 0.249873
4.103399 4.755341 0.282865 0.249744
4.870389 4.755341 0.285160 0.249617
4.716991 4.295146 0.287655 0.249482
4.333496 4.793690 0.290424 0.249329
4.947088 4.563593 0.292846 0.249194
4.410195 4.065049 0.295321 0.249058
3.950001 4.141748 0.297518 0.248934
4.180098 4.180098 0.299087 0.248846
4.141748 4.371845 0.300670 0.248756
4.295146 4.371845 0.302333 0.248663
4.256797 4.256797 0.304361 0.248550
4.486894 4.141748 0.306374 0.248438
4.755341 4.141748 0.308215 0.248335
5.253884 4.486894 0.309857 0.248241
4.870389 4.563593 0.311622 0.248138
4.870389 4.103399 0.313318 0.248038
4.256797 4.103399 0.314904 0.247942
4.525243 4.103399 0.316451 0.247847
4.870389 4.486894 0.317856 0.247760
4.870389 4.410195 0.319224 0.247674
4.716991 4.410195 0.320565 0.247590
4.716991 4.525243 0.321888 0.247505
4.371845 4.525243 0.323248 0.247418
4.371845 4.486894 0.324516 0.247337
4.371845 4.908739 0.325818 0.247253
4.333496 4.908739 0.327152 0.247169
4.026700 4.870389 0.328489 0.247085
4.026700 4.793690 0.329807 0.247004
3.796602 4.793690 0.331078 0.246928
3.758253 4.985437 0.332302 0.246855
3.758253 4.985437 0.333573 0.246783
3.758253 5.138835 0.334871 0.246711
3.758253 4.563593 0.336162 0.246642
3.259709 4.563593 0.337384 0.246579
3.336408 4.333496 0.338523 0.246523
3.336408 4.755341 0.339650 0.246469
3.911651 4.908739 0.341095 0.246402
4.333496 4.333496 0.343341 0.246305
4.103399 3.834952 0.345580 0.246211
4.563593 3.988350 0.347696 0.246122
5.062137 4.716991 0.349950 0.246024
4.755341 4.525243 0.352585 0.245906
4.295146 4.525243 0.354989 0.245797
4.640292 4.601943 0.357296 0.245692
4.678641 4.678641 0.359729 0.245582
4.486894 4.295146 0.362176 0.245471
3.758253 4.026700 0.364403 0.245369
4.180098 4.180098 0.366459 0.245276
4.371845 4.180098 0.368668 0.245176
3.719903 3.758253 0.370860 0.245077
3.719903 4.333496 0.372774 0.244989
3.911651 4.141748 0.374833 0.244897
4.180098 3.911651 0.376934 0.244806
4.295146 3.950001 0.379056 0.244714
4.716991 4.295146 0.381209 0.244618
4.678641 4.295146 0.383578 0.244510
5.023787 4.333496 0.385805 0.244406
5.177185 4.371845 0.388173 0.244293
4.832039 4.295146 0.390563 0.244173
4.601943 4.486894 0.392868 0.244053
4.716991 4.103399 0.395665 0.243906
4.180098 4.141748 0.397905 0.243785
4.410195 4.333496 0.400015 0.243670
4.141748 4.180098 0.402292 0.243545
3.834952 4.065049 0.404360 0.243432
3.796602 3.834952 0.406388 0.243321
4.371845 3.950001 0.408318 0.243216
4.525243 4.065049 0.410890 0.243076
4.410195 3.911651 0.413482 0.242930
4.793690 3.566505 0.415828 0.242794
4.947088 3.758253 0.418030 0.242662
5.062137 3.873302 0.420281 0.242519
5.100486 4.141748 0.422623 0.242362
4.908739 3.911651 0.424992 0.242196
4.755341 3.873302 0.427294 0.242029
4.908739 3.796602 0.429571 0.241858
4.908739 4.026700 0.431766 0.241687
4.640292 4.333496 0.434071 0.241501
4.410195 4.333496 0.436375 0.241311
4.678641 4.333496 0.438652 0.241122
4.832039 4.563593 0.440949 0.240930
4.180098 4.601943 0.443402 0.240723
3.911651 4.640292 0.445665 0.240533
3.988350 4.601943 0.447841 0.240353
3.988350 4.103399 0.449980 0.240180
3.681554 4.026700 0.452469 0.239982
4.141748 3.873302 0.454517 0.239820
3.950001 3.604855 0.456674 0.239650
4.180098 3.834952 0.458566 0.239499
4.448545 4.026700 0.460659 0.239330
3.911651 4.103399 0.462983 0.239140
4.026700 4.525243 0.465085 0.238967
4.640292 4.525243 0.467348 0.238783
4.755341 4.678641 0.469798 0.238585
4.640292 4.908739 0.472288 0.238384
4.832039 5.100486 0.474795 0.238182
4.793690 5.100486 0.477424 0.237972
4.256797 4.985437 0.480040 0.237765
4.026700 5.330583 0.482479 0.237575
3.988350 5.829127 0.485037 0.237384
3.911651 5.445632 0.487655 0.237201
3.067962 4.832039 0.490057 0.237043
3.413107 5.138835 0.492115 0.236918
3.719903 5.177185 0.494290 0.236796
3.528156 4.870389 0.496574 0.236678
3.528156 4.716991 0.498898 0.236568
3.643204 4.755341 0.501088 0.236471
4.141748 4.908739 0.503254 0.236383
4.601943 4.870389 0.505618 0.236292
4.410195 4.908739 0.508122 0.236200
4.486894 4.678641 0.510567 0.236113
4.640292 4.755341 0.513004 0.236028
4.755341 4.563593 0.515478 0.235944
4.563593 4.525243 0.518105 0.235853
4.448545 4.141748 0.520801 0.235759
4.525243 4.180098 0.523229 0.235674
4.908739 4.410195 0.525476 0.235592
4.601943 4.256797 0.527964 0.235499
4.180098 4.486894 0.530321 0.235408
3.796602 4.486894 0.532602 0.235320
4.026700 4.755341 0.534805 0.235238
3.758253 4.448545 0.537148 0.235155
3.451457 4.640292 0.539253 0.235085
3.489806 4.870389 0.541363 0.235021
3.566505 4.947088 0.543632 0.234959
3.374758 5.138835 0.545863 0.234908
3.796602 4.985437 0.548100 0.234866
3.719903 4.525243 0.550383 0.234833
4.410195 4.755341 0.552542 0.234807
4.640292 4.525243 0.554946 0.234783
4.295146 4.371845 0.557379 0.234759
4.295146 4.448545 0.560163 0.234731
4.448545 4.678641 0.562465 0.234709
4.141748 4.640292 0.564920 0.234687
3.988350 4.180098 0.567221 0.234668
3.873302 4.410195 0.569337 0.234654
5.023787 3.489806 0.571521 0.234640
5.177185 3.106311 0.573819 0.234623
4.716991 3.106311 0.576005 0.234596
5.330583 3.911651 0.578010 0.234560
5.062137 3.719903 0.580475 0.234506
4.678641 3.489806 0.582788 0.234446
4.563593 4.218447 0.584982 0.234382
4.448545 4.026700 0.588204 0.234279
4.026700 4.026700 0.590885 0.234191
4.333496 4.103399 0.593465 0.234103
4.180098 4.218447 0.596139 0.234012
4.180098 4.180098 0.598684 0.233924
4.218447 4.180098 0.600467 0.233862
4.448545 4.180098 0.601696 0.233819
4.448545 4.601943 0.602962 0.233775
4.180098 4.601943 0.604251 0.233730
3.950001 4.793690 0.605506 0.233687
3.950001 4.793690 0.606774 0.233645
3.950001 4.793690 0.608009 0.233605
4.486894 4.832039 0.609249 0.233567
4.486894 4.832039 0.610548 0.233528
4.601943 4.333496 0.611913 0.233487
4.601943 3.566505 0.613168 0.233450
4.180098 3.566505 0.614305 0.233416
4.563593 3.604855 0.615413 0.233381
4.563593 4.256797 0.616578 0.233343
5.138835 4.256797 0.617854 0.233299
5.138835 4.103399 0.619195 0.233253
4.755341 4.103399 0.620505 0.233206
4.141748 3.528156 0.622052 0.233147
4.333496 3.873302 0.623486 0.233092
4.333496 4.333496 0.624792 0.233040
4.640292 4.333496 0.626007 0.232991
4.525243 4.448545 0.627293 0.232939
4.525243 4.065049 0.628584 0.232887
4.065049 4.065049 0.629864 0.232834
4.065049 4.333496 0.631025 0.232786
4.563593 4.333496 0.632274 0.232734
4.755341 4.525243 0.633590 0.232680
4.755341 4.563593 0.634930 0.232624
4.640292 4.563593 0.636264 0.232568
4.525243 4.410195 0.637552 0.232514
4.525243 4.295146 0.638884 0.232458
4.333496 4.295146 0.640161 0.232404
4.755341 4.218447 0.641361 0.232352
4.755341 4.218447 0.642644 0.232297
4.601943 4.256797 0.643920 0.232241
4.601943 4.563593 0.645176 0.232185
4.295146 4.563593 0.646460 0.232127
4.141748 4.448545 0.647757 0.232069
4.141748 4.256797 0.649015 0.232013
4.141748 4.256797 0.650235 0.231959
4.448545 4.256797 0.651434 0.231907
4.448545 4.256797 0.652680 0.231852
4.295146 3.796602 0.653949 0.231796
4.295146 3.029612 0.655087 0.231745
4.295146 3.029612 0.656109 0.231698
3.374758 3.950001 0.657154 0.231648
3.374758 4.026700 0.658227 0.231596
3.106311 4.026700 0.659264 0.231547
3.106311 3.911651 0.660256 0.231501
2.492719 3.911651 0.661290 0.231454
1.917476 3.566505 0.662224 0.231414
1.917476 2.262622 0.663001 0.231382
-0.766990 2.262622 0.663590 0.231359
-1.227185 2.991262 0.663811 0.231351
-1.227185 4.180098 0.664061 0.231343
-1.342233 4.180098 0.664493 0.231333
-2.377670 3.873302 0.664995 0.231325
-2.377670 3.259709 0.665292 0.231325
-3.489806 3.067962 0.665468 0.231326
-3.681554 4.180098 0.665386 0.231325
-3.106311 4.180098 0.665486 0.231328
-2.799515 4.832039 0.665698 0.231340
-3.336408 5.023787 0.666138 0.231371
-3.796602 4.525243 0.666513 0.231404
-3.413107 4.716991 0.666681 0.231423
-3.374758 4.947088 0.666966 0.231460
-3.643204 5.215535 0.667336 0.231515
-4.103399 5.215535 0.667636 0.231567
-4.103399 5.215535 0.667815 0.231600
-4.065049 5.215535 0.667993 0.231637
-4.026700 5.215535 0.668187 0.231680
-3.796602 5.215535 0.668381 0.231727
-3.796602 5.215535 0.668624 0.231789
-3.796602 5.215535 0.668856 0.231853
-3.604855 5.215535 0.669093 0.231923
-3.604855 3.719903 0.669358 0.232006
-3.604855 3.604855 0.669374 0.232011
-3.873302 3.604855 0.669374 0.232011
-3.873302 3.604855 0.669338 0.231998
-3.796602 3.604855 0.669302 0.231985
-3.834952 3.950001 0.669277 0.231975
-3.834952 4.026700 0.669292 0.231981
-3.719903 4.026700 0.669318 0.231992
-3.834952 3.758253 0.669358 0.232008
-3.834952 3.758253 0.669348 0.232004
-3.681554 3.528156 0.669338 0.232000
-3.681554 3.451457 0.669318 0.231991
-3.374758 3.451457 0.669289 0.231977
-3.029612 3.604855 0.669299 0.231982
-3.029612 3.873302 0.669373 0.232019
-3.413107 3.873302 0.669479 0.232073
-3.681554 4.256797 0.669538 0.232103
-3.681554 4.486894 0.669622 0.232149
-4.180098 4.486894 0.669740 0.232215
-4.256797 4.486894 0.669784 0.232241
-4.256797 4.793690 0.669813 0.232258
-4.410195 4.793690 0.669878 0.232298
-4.371845 4.486894 0.669924 0.232327
-4.371845 4.486894 0.669938 0.232336
-4.486894 3.758253 0.669951 0.232345
-4.065049 3.950001 0.669801 0.232240
-3.528156 4.103399 0.669772 0.232219
-3.528156 3.988350 0.669892 0.232312
-4.103399 4.180098 0.669987 0.232389
-4.180098 4.563593 0.670002 0.232401
-4.065049 4.563593 0.670079 0.232470
-4.141748 4.026700 0.670173 0.232557
-3.873302 3.873302 0.670151 0.232536
-3.834952 4.065049 0.670151 0.232536
-4.141748 4.103399 0.670193 0.232581
-4.256797 4.180098 0.670186 0.232574
-3.873302 4.448545 0.670174 0.232559
-3.988350 4.333496 0.670279 0.232688
-4.333496 4.755341 0.670345 0.232775
-4.640292 4.947088 0.670435 0.232899
-4.870389 4.716991 0.670487 0.232978
-4.947088 4.601943 0.670461 0.232936
-4.755341 4.601943 0.670405 0.232839
-4.026700 4.832039 0.670379 0.232790
-3.988350 4.410195 0.670492 0.233020
-4.256797 4.410195 0.670547 0.233140
-3.834952 4.563593 0.670566 0.233185
-4.141748 4.141748 0.670653 0.233409
-3.988350 4.333496 0.670653 0.233409
-4.141748 4.103399 0.670687 0.233514
-4.218447 4.218447 0.670683 0.233502
-3.566505 4.065049 0.670683 0.233502
-3.489806 1.917476 0.670720 0.233658
-2.914563 0.920388 0.670612 0.233144
-2.262622 0.268447 0.670477 0.232442
-1.687379 -0.038350 0.670366 0.231826
-1.073786 0.306796 0.670273 0.231291
-0.153398 0.153398 0.670234 0.231054
0.230097 0.153398 0.670234 0.231054
0.498544 0.766990 0.670254 0.231179
0.613592 0.613592 0.670336 0.231675
-0.000000 0.421845 0.670421 0.232198
-0.000000 0.153398 0.670444 0.232337
-0.306796 0.076699 0.670452 0.232390
-0.268447 0.076699 0.670440 0.232316
-0.115049 0.038350 0.670431 0.232258
-0.076699 0.000000 0.670427 0.232234
-0.076699 0.000000 0.670424 0.232210
-0.038350 0.076699 0.670420 0.232186
-0.038350 0.000000 0.670422 0.232200
-0.038350 0.000000 0.670420 0.232188
-0.038350 0.000000 0.670418 0.232176
-0.038350 0.038350 0.670416 0.232164
-0.038350 0.000000 0.670416 0.232164
-0.000000 0.000000 0.670414 0.232152
-0.000000 0.000000 0.670414 0.232152
-0.000000 0.038350 0.670414 0.232152
-0.000000 0.000000 0.670416 0.232163
-0.000000 0.000000 0.670416 0.232163
-0.000000 0.000000 0.670416 0.232163
-0.000000 0.000000 0.670416 0.232163
-0.038350 0.000000 0.670416 0.232163
-0.000000 0.000000 0.670414 0.232151
-0.000000 0.000000 0.670414 0.232151
-0.038350 0.000000 0.670414 0.232151
-0.000000 0.038350 0.670412 0.232138
-0.000000 0.000000 0.670414 0.232149
-0.000000 0.000000 0.670414 0.232149
-0.000000 0.000000 0.670414 0.232149
-0.038350 0.000000 0.670414 0.232149
-0.000000 0.000000 0.670412 0.232135
-0.000000 0.000000 0.670412 0.232135
-0.000000 0.000000 0.670412 0.232135
-0.038350 0.000000 0.670412 0.232135
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670410 0.232123
-0.038350 0.000000 0.670410 0.232123
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670408 0.232112
-0.038350 0.000000 0.670408 0.232112
-0.000000 0.000000 0.670406 0.232100
-0.000000 0.000000 0.670406 0.232100
-0.000000 0.000000 0.670406 0.232100
-0.000000 0.000000 0.670406 0.232100
-0.000000 0.000000 0.670406 0.232100
-0.038350 0.000000 0.670406 0.232100
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670404 0.232086
-0.038350 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.038350 0.670402 0.232074
-0.000000 0.000000 0.670404 0.232086
-0.038350 0.000000 0.670404 0.232086
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670402 0.232074
-0.038350 0.000000 0.670402 0.232074
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.000000 0.670400 0.232060
-0.000000 0.038350 0.670400 0.232060
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670402 0.232072
-0.038350 0.000000 0.670402 0.232072
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.000000 0.670400 0.232058
-0.000000 0.038350 0.670400 0.232058
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.000000 0.670401 0.232070
-0.000000 0.038350 0.670401 0.232070
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.000000 0.670403 0.232082
-0.000000 0.038350 0.670403 0.232082
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.000000 0.670405 0.232093
-0.000000 0.038350 0.670405 0.232093
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.000000 0.670407 0.232105
-0.000000 0.038350 0.670407 0.232105
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670409 0.232117
-0.038350 0.000000 0.670409 0.232117
-0.000000 0.000000 0.670406 0.232102
-0.000000 0.000000 0.670406 0.232102
-0.000000 0.038350 0.670406 0.232102
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.000000 0.670408 0.232114
-0.000000 0.038350 0.670408 0.232114
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
-0.000000 0.000000 0.670410 0.232126
